SEQ NO.,BRAND CODE,DESCRIPTION, WITHDRAWAL PRICE , RETAIL PRICE , WHOLESALE PRICE , RETAIL DISCOUNT , WHOLESALE DISCOUNT ,CARTON CONVERSION 
253,CLUB FRUITFUN P/APPLE CREAM BISCUITS,, 49.20 , 59.05 , 59.05 ,,, 12.0 
254,CLUB FRUITFUN SBERRY CREAM BISCUITS,, 49.20 , 59.05 , 59.05 ,,, 12.0 
255,BISK CLUB SHERO CREAM BISCUITS ,, 68.88 , 82.70 , 82.70 ,,, 12.0 
256,PRAN OH CAKE CHOCO MILK FLAVOR,, 118.08 , 141.70 , 141.70 ,,, 12.0 
257,PRAN OH CAKE BANANA FLAVOR,, 118.08 , 141.70 , 141.70 ,,, 12.0 
258,PRAN EASY INSTANT NOODLE CHICKEN,, 21.32 , 25.60 , 25.60 ,,, 48.0 
259,PRAN EASY INSTANT NOODLE BEEF,, 21.32 , 25.60 , 25.60 ,,, 48.0 
260,PRAN LOLLIPOP ASSORTED,, 24.60 , 29.55 , 29.55 ,,, 40.0 
261,PRAN CHOCO VANILLA LIQUID PASTE,, 15.38 , 18.45 , 18.45 ,,, 120.0 
262,PRAN MILKY LIQUID PASTE,, 15.38 , 18.45 , 18.45 ,,, 120.0 
263,PRAN CHEWY CANDY ORANGE FLAVOR JAR,, 74.35 , 89.25 , 89.25 ,,, 15.0 
264,PRAN CHEWY BLACK CURRANT POUCH,, 20.50 , 24.60 , 24.60 ,,, 24.0 
265,PRAN CHEWY CANDY ORANGE  POUCH,, 20.50 , 24.60 , 24.60 ,,, 24.0 
266,DRINKO FLOAT SBERRY W/ C. 330ML,, 30.34 , 36.40 , 36.40 ,,, 24.0 
267,DRINKO FLOAT SBERRY W/ C.250ML,, 20.50 , 24.60 , 24.60 ,,, 24.0 
268,DRINKO FLOAT P/APPLE W/ C. 250ML,, 20.50 , 24.60 , 24.60 ,,, 24.0 
269,DRINKO FLOAT P/APPLE W/ C. 330ML,, 30.34 , 36.40 , 36.40 ,,, 24.0 
270,DRINKO FLOAT LICH W/ C.  330ML,, 30.34 , 36.40 , 36.40 ,,, 24.0 
271,DRINKO FLOAT ORANGE W/ C. 330ML,, 30.34 , 36.40 , 36.40 ,,, 24.0 
272,TRUE MILK YOUGURT  MILK DRINK 80ML,, 36.90 , 44.30 , 44.30 ,,, 16.0 
273,TRUE MILK STRAWBERRY MILK DRINK 80ML,, 36.90 , 44.30 , 44.30 ,,, 16.0 
274,TRUE MILK MANGO MILK DRINK 80ML,, 36.90 , 44.30 , 44.30 ,,, 16.0 
275,TRUE MILK GREEN APPLE MILK DRINK 80ML,, 36.90 , 44.30 , 44.30 ,,, 16.0 
270,ABLE FARM CONDENSED MILK 380g,, 34.91 , 38.40 , 38.40 ,,, 48.0 
271,SUKA PUTI 1ltr,, 37.75 , 43.50 , 43.50 ,,, 12.0 
272,SUKA PUTI 1.9ltr,, 74.17 , 85.30 , 85.30 ,,, 6.0 
273,SUKA PUTI 3.8ltr,, 137.25 , 157.85 , 157.85 ,,, 4.0 
274,SUKA PUTI 100ml,, 4.63 , 5.35 , 5.35 ,,, 72.0 
275,,,,,,,,
276,,,,,,,,
277,,,,,,,,
278,,,,,,,,
279,,,,,,,,
280,,,,,,,,
281,,,,,,,,
282,,,,,,,,
283,,,,,,,,
284,,,,,,,,
285,,,,,,,,
286,,,,,,,,
287,,,,,,,,
288,,,,,,,,
289,,,,,,,,
290,,,,,,,,
291,,,,,,,,
292,,,,,,,,
293,,,,,,,,
294,,,,,,,,
295,,,,,,,,
296,,,,,,,,
297,,,,,,,,
298,,,,,,,,
299,,,,,,,,
300,,,,,,,,
301,,,,,,,,
302,,,,,,,,
303,,,,,,,,
304,,,,,,,,
305,,,,,,,,
306,,,,,,,,
307,,,,,,,,
308,,,,,,,,
309,,,,,,,,
310,,,,,,,,
311,,,,,,,,
312,,,,,,,,
313,,,,,,,,
314,,,,,,,,
315,,,,,,,,
316,,,,,,,,
317,,,,,,,,
318,,,,,,,,
319,,,,,,,,
320,,,,,,,,
321,,,,,,,,
322,,,,,,,,
323,,,,,,,,
324,,,,,,,,
325,,,,,,,,
326,,,,,,,,
327,,,,,,,,
328,,,,,,,,
329,,,,,,,,
330,,,,,,,,
331,,,,,,,,
332,,,,,,,,
333,,,,,,,,
334,,,,,,,,
335,,,,,,,,
336,,,,,,,,
337,,,,,,,,
338,,,,,,,,
339,,,,,,,,
340,,,,,,,,
341,,,,,,,,
342,,,,,,,,
343,,,,,,,,
344,,,,,,,,
345,,,,,,,,
346,,,,,,,,
347,,,,,,,,
348,,,,,,,,
349,,,,,,,,
350,,,,,,,,
351,,,,,,,,
352,,,,,,,,
353,,,,,,,,
354,,,,,,,,
355,,,,,,,,
356,,,,,,,,
357,,,,,,,,
358,,,,,,,,
359,,,,,,,,
360,,,,,,,,
361,,,,,,,,
362,,,,,,,,
363,,,,,,,,
364,,,,,,,,
365,,,,,,,,
366,,,,,,,,
367,,,,,,,,
